Source,Target,Type,Id
974960466,796180188946112512,Directed,3179
790648999539777536,796180188946112512,Directed,3185
2293624002,796180188946112512,Directed,3189
2815294772,796180188946112512,Directed,3192
951798372993830913,796180188946112512,Directed,3193
1257479564,796180188946112512,Directed,3197
381658306,796180188946112512,Directed,3198
2887338737,796180188946112512,Directed,3201
3083244298,796180188946112512,Directed,3202
228213632,796180188946112512,Directed,3203
962482298,796180188946112512,Directed,3223
53573598,796180188946112512,Directed,3224
2591850176,796180188946112512,Directed,3234
2901528658,796180188946112512,Directed,3238
39160660,796180188946112512,Directed,3252
2772926531,796180188946112512,Directed,3258
786385812808163329,796180188946112512,Directed,3275
4796924434,796180188946112512,Directed,3279
829890722249719808,796180188946112512,Directed,3282
253134452,796180188946112512,Directed,3284
82929398,796180188946112512,Directed,3294
780560957026086912,796180188946112512,Directed,3298
76679251,796180188946112512,Directed,3323
900432270242271232,796180188946112512,Directed,3327
3789661037,796180188946112512,Directed,3329
881147061734920194,796180188946112512,Directed,3332
859887615537008643,796180188946112512,Directed,3333
716656653148536832,796180188946112512,Directed,3344
317976001,796180188946112512,Directed,3349
3657104296,796180188946112512,Directed,3353
845624096801083392,796180188946112512,Directed,3355
1526365735,796180188946112512,Directed,3356
4195597942,796180188946112512,Directed,3363
336697514,796180188946112512,Directed,3381
83703004,796180188946112512,Directed,3384
79550584,796180188946112512,Directed,3392
3379275742,796180188946112512,Directed,3407
3401721700,796180188946112512,Directed,3410
719250640153755649,796180188946112512,Directed,3411
52513350,796180188946112512,Directed,3416
85362144,796180188946112512,Directed,3425
2840640233,796180188946112512,Directed,3441
918560614561341441,796180188946112512,Directed,3447
34942571,796180188946112512,Directed,3448
157994707,796180188946112512,Directed,3452
2726077027,796180188946112512,Directed,3468
417069378,796180188946112512,Directed,3474
2732838936,796180188946112512,Directed,3478
933145533505564672,796180188946112512,Directed,3479
2312167478,796180188946112512,Directed,3481
938176621068062720,796180188946112512,Directed,3490
341276908,796180188946112512,Directed,3499
4900033095,796180188946112512,Directed,3500
907721925438386177,796180188946112512,Directed,3507
29114470,796180188946112512,Directed,3515
147632898,796180188946112512,Directed,3520
47422738,796180188946112512,Directed,3526
2455753574,796180188946112512,Directed,3527
24681913,796180188946112512,Directed,3533
70688885,796180188946112512,Directed,3535
436691393,796180188946112512,Directed,3536
58816010,796180188946112512,Directed,3538
794854674499325952,796180188946112512,Directed,3547
2305640779,796180188946112512,Directed,3551
2165294527,796180188946112512,Directed,3556
222159641,796180188946112512,Directed,3562
2347722996,796180188946112512,Directed,3570
11368622,796180188946112512,Directed,3577
766025483343519748,796180188946112512,Directed,3580
3331527435,796180188946112512,Directed,3591
310301043,796180188946112512,Directed,3595
399624221,796180188946112512,Directed,3601
211227268,796180188946112512,Directed,3622
274607629,796180188946112512,Directed,3633
110738705,796180188946112512,Directed,3643
35022515,796180188946112512,Directed,3665
4892158689,796180188946112512,Directed,3684
905792257416146946,796180188946112512,Directed,3689
37842600,796180188946112512,Directed,3691
775794413998055424,796180188946112512,Directed,3697
373442722,796180188946112512,Directed,3706
2784268040,796180188946112512,Directed,3710
24620598,796180188946112512,Directed,3714
945384332243427328,796180188946112512,Directed,3718
320554315,796180188946112512,Directed,3724
737023981140750342,796180188946112512,Directed,3730
736306624093097985,796180188946112512,Directed,3735
909189142151663616,796180188946112512,Directed,3739
622502580,796180188946112512,Directed,3745
839518526134185988,796180188946112512,Directed,3747
2869017843,796180188946112512,Directed,3752
41800075,796180188946112512,Directed,3755
112328822,796180188946112512,Directed,3756
1687073760,796180188946112512,Directed,3758
701519084,796180188946112512,Directed,3763
2747254752,796180188946112512,Directed,3767
58971335,796180188946112512,Directed,3777
3388752245,796180188946112512,Directed,3780
927302128242130945,796180188946112512,Directed,3787
574094067,796180188946112512,Directed,3796
60400458,796180188946112512,Directed,3809
2271223134,796180188946112512,Directed,3811
3404649993,796180188946112512,Directed,3823
375218322,796180188946112512,Directed,3833
221448045,796180188946112512,Directed,3839
46187399,796180188946112512,Directed,3846
705827223408910336,796180188946112512,Directed,3848
519367521,796180188946112512,Directed,3852
76203294,796180188946112512,Directed,3862
56206000,796180188946112512,Directed,3865
34370931,796180188946112512,Directed,3866
2692881012,796180188946112512,Directed,3876
22331529,796180188946112512,Directed,3887
185042804,796180188946112512,Directed,3901
950388423197675522,796180188946112512,Directed,3905
509577769,796180188946112512,Directed,3906
95861655,796180188946112512,Directed,3918
859931242099351552,796180188946112512,Directed,3927
79941553,796180188946112512,Directed,3928
52737586,796180188946112512,Directed,3930
46976944,796180188946112512,Directed,3936
758487668175073280,796180188946112512,Directed,3937
1532135851,796180188946112512,Directed,3946
888933824704512000,796180188946112512,Directed,3948
363095439,796180188946112512,Directed,3950
4372409177,796180188946112512,Directed,3951
630856360,796180188946112512,Directed,3953
227870733,796180188946112512,Directed,3960
4191588022,796180188946112512,Directed,3962
886656476818935809,796180188946112512,Directed,3979
1666332025,796180188946112512,Directed,3982
153577397,796180188946112512,Directed,3984
175811386,796180188946112512,Directed,3987
2406408315,796180188946112512,Directed,3991
294109109,796180188946112512,Directed,3992
4838702259,796180188946112512,Directed,4005
1437163980,796180188946112512,Directed,4020
2300854242,796180188946112512,Directed,4027
743952437736771584,796180188946112512,Directed,4032
942857810081087488,796180188946112512,Directed,4035
3294685708,796180188946112512,Directed,4046
948703778626252802,796180188946112512,Directed,4051
739530792498499584,796180188946112512,Directed,4057
43577947,796180188946112512,Directed,4058
860576166,796180188946112512,Directed,4082
186285366,796180188946112512,Directed,4085
28901340,796180188946112512,Directed,4086
288500285,796180188946112512,Directed,4118
278772864,796180188946112512,Directed,4128
953024140876926976,796180188946112512,Directed,4135
780212716178903041,796180188946112512,Directed,4144
64950962,796180188946112512,Directed,4146
1132136112,796180188946112512,Directed,4154
30973028,796180188946112512,Directed,4158
43408461,796180188946112512,Directed,4164
279737999,796180188946112512,Directed,4188
317463010,796180188946112512,Directed,4197
1463533586,796180188946112512,Directed,4202
499090756,796180188946112512,Directed,4203
4010843463,796180188946112512,Directed,4205
428273373,796180188946112512,Directed,4206
199324380,796180188946112512,Directed,4219
69409360,796180188946112512,Directed,4230
411689239,796180188946112512,Directed,4243
40084738,796180188946112512,Directed,4245
51798859,796180188946112512,Directed,4259
111367316,796180188946112512,Directed,4267
956156123618398208,796180188946112512,Directed,4279
3154004358,796180188946112512,Directed,4281
173902747,796180188946112512,Directed,4282
131269077,796180188946112512,Directed,4299
166765582,796180188946112512,Directed,4300
1723791013,796180188946112512,Directed,4301
154337072,796180188946112512,Directed,4303
116517313,796180188946112512,Directed,4309
40544261,796180188946112512,Directed,4311
1085149063,796180188946112512,Directed,4315
2861587575,796180188946112512,Directed,4317
58653694,796180188946112512,Directed,4324
352525826,796180188946112512,Directed,4326
