source	target
25406707	204485184
821153259775791104	15249841
388408493	361849520
1708119518	1571428436
49064653	871133532810125312
3744425248	332997355
800819297161396225	714971892109742080
173851898	871133532810125312
39837411	None
711693169327476736	101843145
52398009	774592682144464896
2475553855	131927635
2207903506	None
276050857	None
4834161413	1415328578
1965473114	745467130540232704
2796724336	855456773070872576
3612945077	45266653
941760300906315776	774592682144464896
30486121	237858950
35956259	None
63189319	894922013797646336
204417213	871133532810125312
834032272663859200	2571656740
1511478380	47603635
4834161413	953812354067820545
2270587362	2943093201
176610668	123710016
3473389276	59771262
120738250	None
839948848734875650	949146687058030592
4517964159	None
826594998246371331	725179408865218560
39275027	None
355116456	None
67958005	2943093201
3612945077	2806416231
795330710122926080	811914118118731776
847801669685587969	949146687058030592
2721615152	1543591662
65355454	94199538
112578464	84076180
952960900750815232	871133532810125312
818377448190525440	84757147
780532176311820288	2549016857
4110277888	774592682144464896
91899715	None
897922842599313408	None
828400982396657664	2923397967
93447338	None
90218430	84076180
189248501	871133532810125312
2869972107	749935955927265280
185339372	871133532810125312
728564742747521024	871133532810125312
35956259	None
249668286	2365699398
3744425248	84076180
58064534	83001152
384901069	83001152
32004851	None
725539545362534400	59771262
42439033	191619692
2418360959	855456773070872576
1166530836	855456773070872576
3342772480	367354771
1966567370	83001152
3854388028	None
855494998866972672	None
222233746	None
43899560	None
30486121	741382796489396225
776765106	None
116868315	None
871133532810125312	None
43899560	None
943862984736157698	None
2701818597	3983928853
73163600	None
268859460	2571656740
822803071218630657	None
274685858	84076180
800819297161396225	None
847801669685587969	328691962
41728708	955631018173706242
33435237	17503188
925335979782795264	949146687058030592
621158680	83001152
204417213	871133532810125312
4834161413	328691962
268594630	774592682144464896
705812872	37499660
4595812942	2943093201
48084766	None
916011457506086912	749935955927265280
85684887	70987200
64357195	256267168
828400982396657664	774592682144464896
384901069	251567321
58581170	2157102134
460263352	704429969879990272
942388820619743233	None
2878167442	2923397967
2285917749	451263883
2893351791	535884802
4834161413	3809363657
898983849602015235	774592682144464896
114962636	2157102134
384901069	457877879
105694098	871133532810125312
60950089	None
166596151	None
58006036	None
204417213	880525171664310272
207183328	774592682144464896
262926465	None
101255538	871133532810125312
67958005	None
66848925	880525171664310272
384901069	None
135464164	None
176580977	725313258152943616
189248501	42193486
69379611	None
62518419	774592682144464896
251268123	853420847519985665
4780001733	94199538
808033781634465792	949146687058030592
14752477	84076180
3432959230	4846728351
2382641804	None
4604966176	243799287
63588670	855456773070872576
55631891	None
837792786	871133532810125312
916322016344592384	749935955927265280
2701818597	989053890
2437053786	855456773070872576
135464164	820997243633303552
39832079	None
292522731	None
3432959230	2397941362
185866945	None
228840595	None
504838741	57059339
2846953492	None
2480781667	774592682144464896
388612872	None
3404895501	1250005650
3432959230	776501636567040000
51166582	2157102134
1304752723	880525171664310272
49113731	871133532810125312
414314383	367354771
55851018	None
414314383	83001152
30486121	774592682144464896
173851898	59771262
338422844	None
384901069	37262150
4926168694	124142187
140173717	421346436
839873054473867265	764606346918518784
25439090	3064077976
2803303935	774592682144464896
847801669685587969	178307421
811914118118731776	None
105694098	871133532810125312
2189395211	871133532810125312
2650875688	191619692
1661089064	1870224804
705812872	3303418125
460263352	751412564861550592
2943093201	None
479701398	855456773070872576
63588670	774592682144464896
3000800969	None
898306904702803970	None
4243827095	949146687058030592
148339735	None
2685619861	None
263420231	None
3743811387	84076180
419766418	871133532810125312
705812872	123710016
294034676	774592682144464896
717731246680498176	871133532810125312
628337062	None
835678458269282305	177048412
1304752723	3336972946
127738165	None
474776229	3343298633
837792786	871133532810125312
2920520477	None
823495092	989053890
2881939144	38890334
1556296981	None
4175130315	871133532810125312
789989828930732032	None
725313258152943616	None
844521348449865728	774592682144464896
772588142767529984	361849520
249668286	2571656740
173851898	871133532810125312
2562343832	361849520
751250781739900928	None
