source,target
917013826981244929,1540034828
1707904640,17031996
425017908,744225149017284608
3057079600,51813111
741786570743767040,1859367942
741786570743767040,1859367942
713087662224236544,1540034828
133916048,194121277
2898740537,4060086012
710227700611473408,1202130601
22392307,1540034828
760779344495124480,1540034828
220773162,111123176
88083739,63225060
4029030689,131574396
544522697,183398510
544522697,183398510
1098291156,1202130601
701025528,193860347
716957682142429184,3387706750
791077327,296005306
2436935638,51813111
790604699657498625,8519262
2289664901,87021796
929347164467355651,1540034828
22160850,1202130601
2261827303,63225060
1068078368,87021796
1310609251,3387706750
884756518800936960,64257256
3656794875,3387706750
883456298637037569,1859367942
211489456,1540034828
713087662224236544,63225060
698876454222884865,858201863484735494
943492965875535872,63225060
3472348757,39522911
473236730,183398510
705692761450741760,1540034828
745775798532050944,2387543119
2712649860,131574396
358841768,1540034828
4002147743,51813111
950543695358685185,266230592
1362793860,106942908
1520974122,75031882
2906832547,2573916020
929837749829537797,144177447
3141979607,60232046
3141979607,60232046
930248218763517952,182573469
1593949134,28163475
4301581229,17031996
4301581229,17031996
83846070,228761260
1562310235,4060086012
54158987,3948041
785633048268267520,1358180755
1101706723,389437925
1101706723,389437925
713087662224236544,1540034828
713087662224236544,1540034828
26000511,1540034828
2890717347,25704704
955954596312174592,25562342
2878842763,27505449
3071107360,183398510
858074168956465153,33625790
20674920,1540034828
285135148,1540034828
1262865943,950384307096473600
896531395878760449,23598103
3311267176,67656004
4645911087,25704704
1797496218,60232046
1017446670,183398510
786735750670872578,35536616
1447665072,17340898
4627550895,1680985362
76807525,2479861125
900426221363900416,33625790
950543695358685185,41931380
146680157,17871562
2288895172,583108053
766712244,3387706750
3364172483,3387706750
362552245,67656004
860736900,170254080
3198445333,1358180755
2422690757,25704704
806275564432662529,516939384
806275564432662529,516939384
917013826981244929,64257256
743491085788393472,2387543119
2209864688,2886488690
713087662224236544,60232046
14577078,2479861125
14577078,2479861125
2159391698,822143078479831041
59629137,39354750
59629137,39354750
392792096,3090382647
580242963,193860347
66136802,4060086012
189958778,626725650
66833312,1358180755
2753815656,1540034828
17377456,117436933
742451291704680448,1877732684
88083739,131574396
845321410323140608,2914681581
625030458,583108053
389160086,131574396
583012946,2228766853
242810825,183398510
325065511,25858078
950543695358685185,1540034828
3355549401,76699270
35770077,61852359
3085255509,3387706750
143573197,296005306
2472872176,59326414
921505825163792384,64257256
1977283032,2479861125
879210815949344768,63225060
713087662224236544,3387706750
713087662224236544,715426594689589248
289000785,131574396
71628459,583108053
71628459,583108053
71628459,583108053
71628459,583108053
71628459,583108053
2220761296,39522911
230206226,1540034828
3171597982,1540034828
34146127,64257256
193151042,64257256
845321410323140608,2914681581
845321410323140608,2914681581
2436256309,1358180755
192967664,142391273
19706329,183398510
3169038180,1540034828
148954041,4797121579
92749660,514759265
92749660,514759265
350412629,3240839284
3082975405,708000120533553152
4749924201,3090382647
1917305947,788794760764985344
3113634619,51813111
2288895172,20146388
713087662224236544,1540034828
2944008293,54745785
358543728,194121277
4759484303,733021205536595970
845321410323140608,1540034828
536970196,870715082061168640
536970196,870715082061168640
816821336433717249,461433825
816821336433717249,461433825
232579123,1540034828
3069729263,296005306
950543695358685185,61934676
865981802640547840,45013575
865981802640547840,45013575
865981802640547840,45013575
341086218,1540034828
786174321852948480,170254080
786174321852948480,170254080
146680157,194121277
921505825163792384,270151164
713087662224236544,3077742843
845281624719867904,17031996
20996633,19876616
873659815502991369,2549016857
3142235914,25704704
3142235914,25704704
136795351,41931380
1573947817,412639849
300543196,1540034828
250900934,1540034828
755514779465314305,63225060
755514779465314305,63225060
760779344495124480,67656004
39375589,1202130601
2867553138,67656004
917013826981244929,24043827
478173115,2458915836
478173115,2458915836
1639164054,3387706750
1639164054,3387706750
38050628,64257256
38050628,64257256
398992251,33625790
921505825163792384,183398510
473236730,1540034828
578478219,33625790
950543695358685185,17031996
948066324449808384,1202130601
20996633,19876616
20996633,19876616
2452394186,284652398
337229239,59326414
155304314,155891768
3430695136,3387706750
3430695136,3387706750
39858419,2479861125
3549779355,590414451
428155956,1358180755
428155956,1358180755
4850473545,87021796
